gene_symbol	ensembl	version
RNU6-991P	ENSG00000251977	v39
SLC45A1	ENSG00000162426	v39
Y_RNA	ENSG00000252254	v39
RERE	ENSG00000142599	v39
RERE-AS1	ENSG00000232912	v39
ENSG00000221083	ENSG00000221083	v39
ENSG00000270282	ENSG00000270282	v39
RPL7P11	ENSG00000234619	v39
RPL7P7	ENSG00000224315	v39
Y_RNA	ENSG00000222511	v39
ENSG00000226545	ENSG00000226545	v39
ENSG00000228423	ENSG00000228423	v39
RPL23AP19	ENSG00000229716	v39
ENO1	ENSG00000074800	v39
MIR6728	ENSG00000274258	v39
ENO1-AS1	ENSG00000230679	v39
RNU6-304P	ENSG00000201725	v39
HMGN2P17	ENSG00000238249	v39
ENSG00000232208	ENSG00000232208	v39
ENSG00000232663	ENSG00000232663	v39
CA6	ENSG00000131686	v39
RN7SL451P	ENSG00000265141	v39
SLC2A7	ENSG00000197241	v39
SLC2A5	ENSG00000142583	v39
ENSG00000252404	ENSG00000252404	v39
GPR157	ENSG00000180758	v39
MIR34AHG	ENSG00000228526	v39
MIR34A	ENSG00000284357	v39
LNCTAM34A	ENSG00000234546	v39
H6PD	ENSG00000049239	v39
SPSB1	ENSG00000171621	v39
ENSG00000284652	ENSG00000284652	v39
LINC02606	ENSG00000284693	v39
RNA5SP40	ENSG00000252956	v39
ENSG00000235263	ENSG00000235263	v39
SLC25A33	ENSG00000171612	v39
ENSG00000231181	ENSG00000231181	v39
TMEM201	ENSG00000188807	v39
PIK3CD	ENSG00000171608	v39
PIK3CD-AS1	ENSG00000179840	v39
ENSG00000233268	ENSG00000233268	v39
PIK3CD-AS2	ENSG00000231789	v39
CLSTN1	ENSG00000171603	v39
MZT1P1	ENSG00000271264	v39
ENSG00000280113	ENSG00000280113	v39
CTNNBIP1	ENSG00000178585	v39
ENSG00000223989	ENSG00000223989	v39
ENSG00000285701	ENSG00000285701	v39
LZIC	ENSG00000162441	v39
ENSG00000228150	ENSG00000228150	v39
NMNAT1	ENSG00000173614	v39
RN7SKP269	ENSG00000202415	v39
TMEM274P	ENSG00000283611	v39
MIR5697	ENSG00000265521	v39
ENSG00000241326	ENSG00000241326	v39
RBP7	ENSG00000162444	v39
UBE4B	ENSG00000130939	v39
ENSG00000224340	ENSG00000224340	v39
PGAM1P11	ENSG00000233623	v39
RNU6-828P	ENSG00000201746	v39
KIF1B	ENSG00000054523	v39
ENSG00000264881	ENSG00000264881	v39
RNU6-37P	ENSG00000199562	v39
RN7SL731P	ENSG00000264501	v39
ENSG00000284735	ENSG00000284735	v39
ENSG00000284642	ENSG00000284642	v39
PGD	ENSG00000142657	v39
ENSG00000271989	ENSG00000271989	v39
CENPS-CORT	ENSG00000251503	v39
CENPS	ENSG00000175279	v39
CORT	ENSG00000241563	v39
DFFA	ENSG00000160049	v39
ENSG00000203469	ENSG00000203469	v39
PEX14	ENSG00000142655	v39
ENSG00000287727	ENSG00000287727	v39
RN7SL614P	ENSG00000243267	v39
CASZ1	ENSG00000130940	v39
ENSG00000272078	ENSG00000272078	v39
HSPE1P24	ENSG00000225158	v39
C1orf127	ENSG00000175262	v39
CFL1P6	ENSG00000215785	v39
TARDBP	ENSG00000120948	v39
MASP2	ENSG00000009724	v39
SRM	ENSG00000116649	v39
EXOSC10	ENSG00000171824	v39
ENSG00000226849	ENSG00000226849	v39
EXOSC10-AS1	ENSG00000230337	v39
MTOR	ENSG00000198793	v39
MTOR-AS1	ENSG00000225602	v39
RNU6-537P	ENSG00000253086	v39
ANGPTL7	ENSG00000171819	v39
RNU6-291P	ENSG00000207451	v39
RPL39P6	ENSG00000238173	v39
UBIAD1	ENSG00000120942	v39
UBE2V2P3	ENSG00000238199	v39
