Kids_First_Participant_ID	sample_id	cohort	Kids_First_Biospecimen_ID_DNA	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_Methyl	molecular_subtype	molecular_subtype_methyl	match_id
PANSBN	01	TARGET	TARGET-30-PANSBN-01A-01D	TARGET-30-PANSBN-01A-01R	NA	NBL, MYCN non-amplified	NA	PANSBN_01_Solid Tissue_Primary Tumor
PANUIF	01	TARGET	TARGET-30-PANUIF-01A-01D	TARGET-30-PANUIF-01A-01R	TARGET-30-PANUIF-01A-01D.M	NBL, MYCN non-amplified	NA	PANUIF_01_Solid Tissue_Primary Tumor
PANUKV	01	TARGET	TARGET-30-PANUKV-01A-01W	NA	TARGET-30-PANUKV-01A-01D.M	NBL, MYCN amplified	NA	PANUKV_01_Solid Tissue_Primary Tumor
PANWRR	01	TARGET	TARGET-30-PANWRR-01A-01D	TARGET-30-PANWRR-01A-01R	TARGET-30-PANWRR-01A-01D.M	NBL, MYCN non-amplified	NA	PANWRR_01_Solid Tissue_Primary Tumor
PANXJL	01	TARGET	TARGET-30-PANXJL-01A-01D	TARGET-30-PANXJL-01A-01R	TARGET-30-PANXJL-01A-01D.M	NBL, MYCN non-amplified	NA	PANXJL_01_Solid Tissue_Primary Tumor
PANYBL	01	TARGET	TARGET-30-PANYBL-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PANYBL_01_Solid Tissue_Primary Tumor
PANYGR	01	TARGET	TARGET-30-PANYGR-01A-01W	TARGET-30-PANYGR-01A-01R	TARGET-30-PANYGR-01A-01D.M	NBL, MYCN non-amplified	NA	PANYGR_01_Solid Tissue_Primary Tumor
PANZPV	01	TARGET	TARGET-30-PANZPV-01A-01W	TARGET-30-PANZPV-01A-01R	TARGET-30-PANZPV-01A-01D.M	NBL, MYCN non-amplified	NA	PANZPV_01_Solid Tissue_Primary Tumor
PANZRV	01	TARGET	NA	TARGET-30-PANZRV-01A-01R	NA	NBL, MYCN non-amplified	NA	PANZRV_01_Solid Tissue_Primary Tumor
PANZVU	01	TARGET	TARGET-30-PANZVU-01A-01W	TARGET-30-PANZVU-01A-01R	TARGET-30-PANZVU-01A-01D.M	NBL, MYCN non-amplified	NA	PANZVU_01_Solid Tissue_Primary Tumor
PAPBGH	01	TARGET	TARGET-30-PAPBGH-01A-01W	TARGET-30-PAPBGH-01A-01R	TARGET-30-PAPBGH-01A-01D.M	NBL, MYCN non-amplified	NA	PAPBGH_01_Solid Tissue_Primary Tumor
PAPBJE	01	TARGET	TARGET-30-PAPBJE-01A-01D	TARGET-30-PAPBJE-01A-01R	TARGET-30-PAPBJE-01A-01D.M	NBL, MYCN amplified	NA	PAPBJE_01_Solid Tissue_Primary Tumor
PAPBJT	01	TARGET	TARGET-30-PAPBJT-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAPBJT_01_Solid Tissue_Primary Tumor
PAPBZI	01	TARGET	TARGET-30-PAPBZI-01A-01W	TARGET-30-PAPBZI-01A-01R	TARGET-30-PAPBZI-01A-01D.M	NBL, MYCN non-amplified	NA	PAPBZI_01_Solid Tissue_Primary Tumor
PAPCTS	01	TARGET	TARGET-30-PAPCTS-01A-01D	TARGET-30-PAPCTS-01A-01R	TARGET-30-PAPCTS-01A-01D.M	NBL, MYCN amplified	NA	PAPCTS_01_Solid Tissue_Primary Tumor
PAPEFE	01	TARGET	TARGET-30-PAPEFE-01A-01W	TARGET-30-PAPEFE-01A-01R	TARGET-30-PAPEFE-01A-01D.M	NBL, MYCN amplified	NA	PAPEFE_01_Solid Tissue_Primary Tumor
PAPHPE	01	TARGET	TARGET-30-PAPHPE-01A-01W	TARGET-30-PAPHPE-01A-01R	TARGET-30-PAPHPE-01A-01D.M	NBL, MYCN non-amplified	NA	PAPHPE_01_Solid Tissue_Primary Tumor
PAPICY	01	TARGET	NA	TARGET-30-PAPICY-01A-01R	TARGET-30-PAPICY-01A-01D.M	NBL, MYCN non-amplified	NA	PAPICY_01_Solid Tissue_Primary Tumor
PAPKWN	01	TARGET	TARGET-30-PAPKWN-01A-01W	TARGET-30-PAPKWN-01A-01R	TARGET-30-PAPKWN-01A-01D.M	NBL, MYCN amplified	NA	PAPKWN_01_Solid Tissue_Primary Tumor
PAPKXS	01	TARGET	TARGET-30-PAPKXS-01A-01D	TARGET-30-PAPKXS-01A-01R	TARGET-30-PAPKXS-01A-01D.M	NBL, MYCN non-amplified	NA	PAPKXS_01_Solid Tissue_Primary Tumor
PAPLSD	01	TARGET	TARGET-30-PAPLSD-01A-01D	TARGET-30-PAPLSD-01A-01R	NA	NBL, MYCN non-amplified	NA	PAPLSD_01_Solid Tissue_Primary Tumor
PAPNEP	01	TARGET	TARGET-30-PAPNEP-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAPNEP_01_Solid Tissue_Primary Tumor
PAPPKJ	01	TARGET	TARGET-30-PAPPKJ-01A-01W	NA	NA	NBL, MYCN non-amplified	NA	PAPPKJ_01_Solid Tissue_Primary Tumor
PAPREJ	01	TARGET	TARGET-30-PAPREJ-01A-01D	NA	NA	NBL, MYCN amplified	NA	PAPREJ_01_Solid Tissue_Primary Tumor
PAPRMJ	01	TARGET	TARGET-30-PAPRMJ-01A-01D	NA	NA	NBL, MYCN non-amplified	NA	PAPRMJ_01_Solid Tissue_Primary Tumor
PAPRPR	01	TARGET	TARGET-30-PAPRPR-01A-01D	NA	NA	NBL, MYCN amplified	NA	PAPRPR_01_Solid Tissue_Primary Tumor
PAPRXW	01	TARGET	TARGET-30-PAPRXW-01A-01D	NA	TARGET-30-PAPRXW-01A-01D.M	NBL, MYCN amplified	NA	PAPRXW_01_Solid Tissue_Primary Tumor
PAPSMC	01	TARGET	TARGET-30-PAPSMC-01A-01W	NA	NA	NBL, MYCN amplified	NA	PAPSMC_01_Solid Tissue_Primary Tumor
PAPTAN	01	TARGET	TARGET-30-PAPTAN-01A-01D	TARGET-30-PAPTAN-01A-01R	TARGET-30-PAPTAN-01A-01D.M	NBL, MYCN non-amplified	NA	PAPTAN_01_Solid Tissue_Primary Tumor
