gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
INMT	0.999135293008606	7.67803364917434e-06	5.17883369636809e-06
INMT-MINDY4	0.887067106179764	0.000946556747240931	0.000638452526014008
INO80	0.997227783500364	2.45919856831737e-05	1.65872943433007e-05
INO80-AS1	0.922328452836564	0.000663175394733223	0.000447311803747559
INO80B	0.973097468974977	0.000235765652266971	0.000159023932454072
INO80B-WBP1	0.932720915575558	0.000577547985825373	0.000389556116439214
INO80C	0.997858856143038	1.89998207942544e-05	1.28153791257246e-05
INO80D	0.999432418937944	5.0404983884975e-06	3.39981616304156e-06
INO80E	0.991054797848437	7.91065103602852e-05	5.33573412380124e-05
INPP1	0.999257931975347	6.5894838903914e-06	4.444606884069e-06
INPP4A	0.998890602344893	9.84952131022942e-06	6.64350212374975e-06
INPP4B	0.99623020374621	3.34246874760419e-05	2.25449517025902e-05
INPP5A	0.997080011904598	2.59009325095226e-05	1.7470178977673e-05
INPP5B	0.99851544636794	1.31777800804693e-05	8.88841266427653e-06
INPP5D	0.999213011294501	6.98821766381454e-06	4.71355281424291e-06
INPP5E	0.998970639766202	9.13929417025071e-06	6.1644539178341e-06
INPP5F	0.999224587171267	6.88546730644144e-06	4.64424769819475e-06
INPP5J	0.999571884722512	3.8022143987296e-06	2.56459361194312e-06
INPP5K	0.996758054826125	2.87521261625964e-05	1.93933090966712e-05
INPPL1	0.997612147376032	2.11864183512438e-05	1.42902391779139e-05
INS	0.997699610979753	2.04112840001387e-05	1.37674110580936e-05
INS-IGF2	0.999364669138459	5.64197061283762e-06	3.80550917835897e-06
INSC	0.99979867842989	1.78819732237266e-06	1.20613909394036e-06
INSIG1	0.999830536649812	1.50524723419584e-06	1.01528925946509e-06
INSIG2	0.996327922273026	3.25598654049426e-05	2.19616292156338e-05
INSL3	0.999411353997145	5.22751403755279e-06	3.52595821832936e-06
INSL4	0.997559267735891	2.16550240431308e-05	1.46063137170917e-05
INSL5	0.999907736050069	8.19560196810767e-07	5.52793352748862e-07
INSL6	0.999476952690701	4.64511242071029e-06	3.13312832776909e-06
INSM1	0.999583563562297	3.6985128792523e-06	2.49464693705568e-06
INSM2	0.999950320574099	4.41300714526363e-07	2.97657331948032e-07
INSR	0.999419514690363	5.15506344295726e-06	3.47709029227467e-06
INSRR	0.999855907060396	1.27991244220878e-06	8.63300942269822e-07
INTS1	0.997949710539329	1.81944355216904e-05	1.22721467593801e-05
INTS10	0.988921530436173	9.78669992449891e-05	6.60112909907452e-05
INTS11	0.993432226045404	5.81511792628166e-05	3.92229704127698e-05
INTS12	0.987140196715889	0.000113501522766339	7.65567771058953e-05
INTS13	0.99022327872835	8.64239058483253e-05	5.82929244946954e-05
INTS14	0.998166084176755	1.62760807287105e-05	1.09782164515153e-05
INTS2	0.998884985717399	9.89935937588719e-06	6.67711789903591e-06
INTS3	0.998416478483435	1.40555817480325e-05	9.48048988904793e-06
INTS4	0.993130702455397	6.08116744428273e-05	4.1017474411687e-05
INTS4P1	0.996101064307633	3.45674587089741e-05	2.3315750899203e-05
INTS4P2	0.994502868440976	4.86978346107845e-05	3.28466894449741e-05
INTS5	0.999681415428062	2.82959581982241e-06	1.90856238047022e-06
INTS6	0.992581737455993	6.56533966333285e-05	4.428321602918e-05
INTS6-AS1	0.999189788714334	7.19434346404718e-06	4.85258466649983e-06
INTS6L	0.999328326407773	5.96459894324539e-06	4.02312198721902e-06
