Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
IQSEC1	1	0	0	0	6	0	0	0	0	7	4	4	27	14.814814814814813
KIAA1109	0	1	0	0	5	1	0	0	0	7	4	4	27	14.814814814814813
ASCC3	0	1	0	0	3	2	0	0	0	6	4	4	27	14.814814814814813
BCOR	1	0	0	0	2	2	0	1	0	6	4	4	27	14.814814814814813
BRCA2	1	1	0	0	4	0	0	0	0	6	4	4	27	14.814814814814813
CCDC7	1	0	0	0	3	2	0	0	0	6	4	4	27	14.814814814814813
COL18A1	0	0	0	0	6	0	0	0	0	6	4	4	27	14.814814814814813
FBN2	0	0	0	0	4	2	0	0	0	6	4	4	27	14.814814814814813
PCDH12	0	1	0	0	5	0	0	0	0	6	4	4	27	14.814814814814813
PCLO	0	0	0	0	6	0	0	0	0	6	4	4	27	14.814814814814813
PTEN	2	1	0	0	2	0	0	1	0	6	4	4	27	14.814814814814813
MYO1F	1	0	0	0	4	0	0	0	0	5	4	4	27	14.814814814814813
PARP14	1	0	0	0	4	0	0	0	0	5	4	4	27	14.814814814814813
PIK3CA	0	0	1	0	4	0	0	0	0	5	4	4	27	14.814814814814813
RAPGEF1	0	0	0	0	4	0	1	0	0	5	4	4	27	14.814814814814813
SPEG	0	0	0	0	5	0	0	0	0	5	4	4	27	14.814814814814813
TNRC18	0	1	1	0	3	0	0	0	0	5	4	4	27	14.814814814814813
CUX1	0	0	0	0	4	0	0	0	0	4	4	4	27	14.814814814814813
OTOP1	0	0	0	0	4	0	0	0	0	4	4	4	27	14.814814814814813
PIK3R1	0	0	1	0	2	0	0	1	0	4	4	4	27	14.814814814814813
SREBF2	0	0	0	0	3	0	0	1	0	4	4	4	27	14.814814814814813
TERT	0	0	0	0	4	0	0	0	0	4	4	4	27	14.814814814814813
UBXN11	0	0	1	1	2	0	0	0	0	4	4	4	27	14.814814814814813
NEB	0	1	0	0	23	0	0	1	0	25	3	3	27	11.11111111111111
PLEC	0	0	0	0	18	0	0	0	0	18	3	3	27	11.11111111111111
DNAH17	0	0	0	0	13	2	0	0	0	15	3	3	27	11.11111111111111
PRKDC	0	1	0	0	14	0	0	0	0	15	3	3	27	11.11111111111111
ANK3	0	0	0	0	14	0	0	0	0	14	3	3	27	11.11111111111111
KMT2D	0	1	0	0	12	0	0	1	0	14	3	3	27	11.11111111111111
RYR2	0	1	0	0	11	1	0	1	0	14	3	3	27	11.11111111111111
FSIP2	0	0	0	0	12	0	0	0	0	12	3	3	27	11.11111111111111
SSPO	0	0	0	0	12	0	0	0	0	12	3	3	27	11.11111111111111
AHNAK2	0	0	0	0	11	0	0	0	0	11	3	3	27	11.11111111111111
FN1	0	0	0	0	10	0	0	1	0	11	3	3	27	11.11111111111111
MUC5B	0	0	0	0	11	0	0	0	0	11	3	3	27	11.11111111111111
VPS13D	0	0	0	0	10	1	0	0	0	11	3	3	27	11.11111111111111
CENPF	0	0	0	0	9	0	0	1	0	10	3	3	27	11.11111111111111
CFAP47	0	1	0	0	8	0	0	1	0	10	3	3	27	11.11111111111111
CIC	1	0	0	0	8	0	0	1	0	10	3	3	27	11.11111111111111
CNTN2	0	0	0	0	10	0	0	0	0	10	3	3	27	11.11111111111111
CROCC	0	0	0	0	9	1	0	0	0	10	3	3	27	11.11111111111111
MYH14	0	0	0	0	8	0	0	2	0	10	3	3	27	11.11111111111111
SPTBN5	0	0	0	0	10	0	0	0	0	10	3	3	27	11.11111111111111
ADGRV1	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
ASPM	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
CASKIN1	0	0	1	0	8	0	0	0	0	9	3	3	27	11.11111111111111
CPSF1	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
DNAH14	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
DNHD1	0	0	0	0	7	1	0	1	0	9	3	3	27	11.11111111111111
EXPH5	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
FBN3	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
IGFN1	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
MYO15A	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
NES	1	0	1	0	7	0	0	0	0	9	3	3	27	11.11111111111111
PKHD1L1	1	0	0	0	8	0	0	0	0	9	3	3	27	11.11111111111111
TLN2	0	0	0	0	9	0	0	0	0	9	3	3	27	11.11111111111111
ZEB2	1	1	0	0	6	1	0	0	0	9	3	3	27	11.11111111111111
ABCA13	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
ABCA2	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
ADAMTS7	0	1	0	0	6	1	0	0	0	8	3	3	27	11.11111111111111
ADCY9	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
APOB	0	0	0	0	7	1	0	0	0	8	3	3	27	11.11111111111111
ATG2A	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
BRPF1	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
CAD	1	0	0	0	7	0	0	0	0	8	3	3	27	11.11111111111111
CEP192	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
DAB2IP	1	0	0	0	7	0	0	0	0	8	3	3	27	11.11111111111111
KIAA1549	0	1	0	0	6	0	0	1	0	8	3	3	27	11.11111111111111
MACF1	0	0	0	0	5	3	0	0	0	8	3	3	27	11.11111111111111
MYO7A	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
MYO7B	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
MYO9B	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
NIPBL	0	0	0	0	7	0	0	1	0	8	3	3	27	11.11111111111111
PTPN11	0	0	0	0	7	0	0	1	0	8	3	3	27	11.11111111111111
SMARCA4	0	0	0	0	7	0	0	1	0	8	3	3	27	11.11111111111111
SPTBN2	0	0	0	0	7	0	0	1	0	8	3	3	27	11.11111111111111
TENM3	1	1	0	0	6	0	0	0	0	8	3	3	27	11.11111111111111
UBR4	0	0	0	0	8	0	0	0	0	8	3	3	27	11.11111111111111
ADGRG4	0	0	0	0	5	1	0	1	0	7	3	3	27	11.11111111111111
ANK2	0	0	0	0	6	1	0	0	0	7	3	3	27	11.11111111111111
ATG2B	0	0	0	0	5	2	0	0	0	7	3	3	27	11.11111111111111
CELSR2	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
DNAH9	0	0	0	0	6	1	0	0	0	7	3	3	27	11.11111111111111
FAAP100	0	0	0	0	6	1	0	0	0	7	3	3	27	11.11111111111111
HMCN2	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
HSPG2	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
KMT2B	0	0	0	0	6	0	0	1	0	7	3	3	27	11.11111111111111
KMT2C	0	1	0	0	6	0	0	0	0	7	3	3	27	11.11111111111111
LAMA3	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
MXRA5	0	0	0	0	6	1	0	0	0	7	3	3	27	11.11111111111111
PDZD7	0	0	1	0	6	0	0	0	0	7	3	3	27	11.11111111111111
PHLPP1	0	0	1	0	6	0	0	0	0	7	3	3	27	11.11111111111111
PRDM10	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
PTPRF	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
SLITRK5	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
SPHKAP	0	0	0	0	6	1	0	0	0	7	3	3	27	11.11111111111111
SYNE2	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
TNC	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
TPR	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
TTC6	0	0	0	0	6	0	0	1	0	7	3	3	27	11.11111111111111
VCAN	0	0	0	0	7	0	0	0	0	7	3	3	27	11.11111111111111
ZNF292	0	0	0	0	5	2	0	0	0	7	3	3	27	11.11111111111111
ADCY3	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
ATG9B	0	0	0	0	4	1	0	1	0	6	3	3	27	11.11111111111111
ATP7A	0	0	0	0	5	1	0	0	0	6	3	3	27	11.11111111111111
CACNA1H	0	1	0	0	4	1	0	0	0	6	3	3	27	11.11111111111111
CCDC57	0	0	0	0	5	0	0	1	0	6	3	3	27	11.11111111111111
CHL1	0	0	0	0	5	0	0	1	0	6	3	3	27	11.11111111111111
COL14A1	1	0	0	0	5	0	0	0	0	6	3	3	27	11.11111111111111
COL20A1	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
COL7A1	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
CRAMP1	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
CRIM1	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
DGKQ	0	0	0	0	4	0	0	2	0	6	3	3	27	11.11111111111111
DNMT3A	0	0	0	0	5	1	0	0	0	6	3	3	27	11.11111111111111
HEATR5B	0	0	0	0	5	1	0	0	0	6	3	3	27	11.11111111111111
HELZ2	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
HIVEP1	0	1	0	0	4	1	0	0	0	6	3	3	27	11.11111111111111
KNDC1	0	0	0	0	4	1	0	1	0	6	3	3	27	11.11111111111111
LRP1B	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
MAST4	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
MED12L	1	0	0	0	5	0	0	0	0	6	3	3	27	11.11111111111111
MINK1	0	0	0	0	5	1	0	0	0	6	3	3	27	11.11111111111111
MUC17	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
NCKAP5L	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
OTOF	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
PCSK5	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
RFX7	0	0	0	0	5	1	0	0	0	6	3	3	27	11.11111111111111
RIC1	0	0	0	1	5	0	0	0	0	6	3	3	27	11.11111111111111
SCN1A	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
SETD1A	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
SETD2	1	0	0	0	3	2	0	0	0	6	3	3	27	11.11111111111111
SHANK2	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
SLMAP	0	0	0	0	5	1	0	0	0	6	3	3	27	11.11111111111111
SUCO	1	0	0	0	4	0	0	1	0	6	3	3	27	11.11111111111111
TBCD	0	0	0	0	5	0	0	1	0	6	3	3	27	11.11111111111111
TET1	0	1	0	0	5	0	0	0	0	6	3	3	27	11.11111111111111
TMC3	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
TRPM3	0	0	0	0	5	1	0	0	0	6	3	3	27	11.11111111111111
UPF2	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
VWF	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
ZFAT	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
ZNF536	0	0	0	0	6	0	0	0	0	6	3	3	27	11.11111111111111
ABCC12	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
ANKRD11	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
ANKS1A	0	0	0	0	4	0	0	1	0	5	3	3	27	11.11111111111111
APBB1IP	0	1	0	0	3	1	0	0	0	5	3	3	27	11.11111111111111
ASXL1	1	0	0	0	4	0	0	0	0	5	3	3	27	11.11111111111111
BAIAP2	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
CACNA1S	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
CCDC177	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
CDHR2	0	1	0	0	4	0	0	0	0	5	3	3	27	11.11111111111111
CELSR3	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
CENPB	0	0	0	0	3	0	0	0	2	5	3	3	27	11.11111111111111
CHERP	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
COL2A1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
CPLANE1	1	0	0	0	4	0	0	0	0	5	3	3	27	11.11111111111111
CR1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
DYSF	0	0	0	0	4	0	0	1	0	5	3	3	27	11.11111111111111
EFL1	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
EPPK1	0	0	0	0	2	3	0	0	0	5	3	3	27	11.11111111111111
FAM47B	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
FHDC1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
FRMPD3	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
GNAS	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
GPR158	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
KALRN	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
LAMA1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
LMTK2	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
LOXHD1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
LYST	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
MAST1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
MCM3AP	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
MED12	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
MTMR2	0	0	1	0	3	1	0	0	0	5	3	3	27	11.11111111111111
NHSL1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
NLRC5	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
PCIF1	1	0	0	0	3	1	0	0	0	5	3	3	27	11.11111111111111
PFAS	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
POLG	0	0	0	0	2	1	0	2	0	5	3	3	27	11.11111111111111
PRRC2C	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
PTPN23	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
PTPRZ1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
PWWP2A	0	0	0	0	4	0	0	1	0	5	3	3	27	11.11111111111111
RRP1B	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
SDK1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
SHANK1	0	0	0	0	3	2	0	0	0	5	3	3	27	11.11111111111111
SLC28A1	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
SLC9A5	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
SRCAP	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
TCHH	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
THBS3	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
TNRC6B	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
TOR4A	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
TRPV2	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
UNC13C	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
UNC79	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
USP36	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
USP6NL	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
WDR64	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
WNK1	0	1	0	0	4	0	0	0	0	5	3	3	27	11.11111111111111
ZNF142	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
ZNF335	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
ZNF675	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
ZNF746	0	0	0	0	5	0	0	0	0	5	3	3	27	11.11111111111111
ZZEF1	0	0	0	0	4	1	0	0	0	5	3	3	27	11.11111111111111
ADAMTS16	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
ALMS1	0	1	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
ASAP2	0	0	0	0	3	0	0	1	0	4	3	3	27	11.11111111111111
ATP8A2	0	0	0	0	3	0	0	1	0	4	3	3	27	11.11111111111111
BPGM	0	0	1	0	3	0	0	0	0	4	3	3	27	11.11111111111111
BRICD5	0	0	1	0	2	1	0	0	0	4	3	3	27	11.11111111111111
CCAR1	1	0	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
CNOT6L	0	1	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
CSRNP2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
DLEC1	0	0	1	0	3	0	0	0	0	4	3	3	27	11.11111111111111
DNA2	1	0	0	0	2	1	0	0	0	4	3	3	27	11.11111111111111
EGR2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
ENPP1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
FBH1	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
FBN1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
FGFR1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
FZD9	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
GPR180	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
GPR50	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
GREB1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
GRM1	1	0	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
IL17REL	0	1	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
INPP5D	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
IQCE	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
ITGA10	1	0	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
ITGAX	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
JADE3	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
KCP	0	1	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
LRFN1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
LRRC7	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
LRRIQ1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
MEFV	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
MEGF6	0	1	0	0	2	1	0	0	0	4	3	3	27	11.11111111111111
MROH1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
MYOCD	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
MYT1	0	1	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
NEURL1B	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
NFASC	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
NHS	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
OGDH	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
PACS1	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
PANX2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
PAPSS1	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
PARP3	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
PCDHB1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
PITRM1	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
PLB1	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
PON2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
PRDM15	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
RALGAPA2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
RHBDF2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SCARF2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SCN11A	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SENP1	1	0	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
SGSM2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SHROOM1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SIDT2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SORBS2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SOX1	1	0	1	0	2	0	0	0	0	4	3	3	27	11.11111111111111
SPAG9	0	0	0	0	2	2	0	0	0	4	3	3	27	11.11111111111111
SPATA2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SPATA31E1	1	0	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
SREBF1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
SRRM1	0	0	1	0	3	0	0	0	0	4	3	3	27	11.11111111111111
SSTR5	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
STOML2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
TBCE	0	0	0	0	3	1	0	0	0	4	3	3	27	11.11111111111111
TECPR1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
TJP1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
TMC7	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
TOPBP1	0	1	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
TPTE	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
TRIO	1	0	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
TRIP11	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
TTC8	1	0	0	0	3	0	0	0	0	4	3	3	27	11.11111111111111
TTF2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
UBR1	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
WASF3	0	0	0	0	3	0	0	1	0	4	3	3	27	11.11111111111111
YTHDC2	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
ZNF407	0	0	0	0	4	0	0	0	0	4	3	3	27	11.11111111111111
ABCC9	0	0	0	0	2	1	0	0	0	3	3	3	27	11.11111111111111
ABCG8	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
AC008397.2	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
ADAM23	0	0	0	0	2	0	0	1	0	3	3	3	27	11.11111111111111
AGAP3	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
AKAP9	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
AMMECR1L	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
ARAP2	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
ARHGAP25	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
ARHGAP44	0	0	0	0	2	0	0	1	0	3	3	3	27	11.11111111111111
ARHGEF3	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
ARHGEF7	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
ATP2B2	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
ATP7B	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
BMP2K	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
BMPR1B	0	0	0	0	2	0	0	1	0	3	3	3	27	11.11111111111111
BMPR2	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
CCIN	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
CDC45	0	0	0	0	1	1	0	1	0	3	3	3	27	11.11111111111111
CDS1	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
CEP83	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
CFAP221	0	0	0	0	2	1	0	0	0	3	3	3	27	11.11111111111111
CFAP46	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
CLMN	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
COL25A1	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
COL9A2	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
CPT2	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
DNAH12	0	0	0	0	2	1	0	0	0	3	3	3	27	11.11111111111111
DNAJA3	0	0	0	0	2	1	0	0	0	3	3	3	27	11.11111111111111
DOPEY1	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
DPP9	0	0	0	0	1	1	0	1	0	3	3	3	27	11.11111111111111
EPHA4	0	0	0	0	3	0	0	0	0	3	3	3	27	11.11111111111111
FAM117B	1	0	0	0	2	0	0	0	0	3	3	3	27	11.11111111111111
