Gene	cancer_group	count
ZBTB7A	Acute Lymphoblastic Leukemia	8
ASPSCR1	Acute Myeloid Leukemia	7
BAHCC1	Acute Lymphoblastic Leukemia	7
BANP	Acute Myeloid Leukemia	7
BRD3	Acute Lymphoblastic Leukemia	7
BRF1	Acute Lymphoblastic Leukemia	7
FAM19A5	Acute Lymphoblastic Leukemia	7
FOXK2	Acute Myeloid Leukemia	7
GAK	Acute Myeloid Leukemia	7
GET4	Acute Lymphoblastic Leukemia	7
LMNB2	Acute Lymphoblastic Leukemia	7
NSD1	Acute Myeloid Leukemia	7
PLEKHO1	Acute Myeloid Leukemia	7
REXO1	Acute Myeloid Leukemia	7
SBNO2	Acute Lymphoblastic Leukemia	7
SKI	Acute Lymphoblastic Leukemia	7
TGIF1	Acute Lymphoblastic Leukemia	7
TPM4	Acute Myeloid Leukemia	7
B2M	Acute Myeloid Leukemia	6
BAZ2B	Acute Myeloid Leukemia	6
BRD1	Acute Myeloid Leukemia	6
CSNK1D	Acute Myeloid Leukemia	6
EDF1	Acute Lymphoblastic Leukemia	6
EPB41	Acute Lymphoblastic Leukemia	6
EWSR1	Ewing sarcoma	6
FAM20C	Acute Myeloid Leukemia	6
FAM49A	Neuroblastoma	6
FLI1	Ewing sarcoma	6
HIPK1	Acute Lymphoblastic Leukemia	6
INPP5A	Acute Lymphoblastic Leukemia	6
LRP1	Osteosarcoma	6
MAEA	Acute Myeloid Leukemia	6
MEF2D	Acute Lymphoblastic Leukemia	6
MET	Diffuse midline glioma	6
MKNK2	Acute Myeloid Leukemia	6
MRM2	Acute Lymphoblastic Leukemia	6
MYO18B	Acute Lymphoblastic Leukemia	6
OAZ1	Acute Lymphoblastic Leukemia	6
PFKL	Acute Lymphoblastic Leukemia	6
PIM3	Acute Myeloid Leukemia	6
PLXNB2	Acute Lymphoblastic Leukemia	6
PPP1R37	Acute Lymphoblastic Leukemia	6
RASA3	Acute Lymphoblastic Leukemia	6
RASSF1	Acute Myeloid Leukemia	6
RNF168	Acute Lymphoblastic Leukemia	6
RXRA	Acute Myeloid Leukemia	6
SLC19A1	Acute Lymphoblastic Leukemia	6
STK24	Acute Lymphoblastic Leukemia	6
SUMO3	Acute Lymphoblastic Leukemia	6
UHRF2	Acute Lymphoblastic Leukemia	6
AC005258.1	Acute Lymphoblastic Leukemia	5
ACTR1A	Acute Lymphoblastic Leukemia	5
AFDN	Acute Myeloid Leukemia	5
ANP32E	Acute Myeloid Leukemia	5
ATP6V0C	Acute Lymphoblastic Leukemia	5
AUTS2	Acute Lymphoblastic Leukemia	5
BCL11A	Acute Lymphoblastic Leukemia	5
BCL11A	Acute Myeloid Leukemia	5
BCL11B	Acute Lymphoblastic Leukemia	5
CHD2	Acute Myeloid Leukemia	5
CLK1	Acute Lymphoblastic Leukemia	5
CREBBP	Acute Lymphoblastic Leukemia	5
CSNK1G2	Acute Myeloid Leukemia	5
DAZAP1	Acute Lymphoblastic Leukemia	5
DDX1	Neuroblastoma	5
DDX3X	Acute Lymphoblastic Leukemia	5
EEF1D	Acute Lymphoblastic Leukemia	5
EPS15	Acute Lymphoblastic Leukemia	5
EZR	Acute Lymphoblastic Leukemia	5
FAM53B	Acute Lymphoblastic Leukemia	5
FOSB	Acute Myeloid Leukemia	5
GRAMD4	Acute Lymphoblastic Leukemia	5
HNRNPU	Acute Lymphoblastic Leukemia	5
KDM4C	Acute Lymphoblastic Leukemia	5
KLF16	Acute Myeloid Leukemia	5
MDK	Acute Myeloid Leukemia	5
METRNL	Acute Myeloid Leukemia	5
NUP98	Acute Lymphoblastic Leukemia	5
PNRC1	Acute Myeloid Leukemia	5
PPRC1	Acute Lymphoblastic Leukemia	5
PRDM16	Acute Myeloid Leukemia	5
PTPN2	Acute Myeloid Leukemia	5
RBBP6	Acute Myeloid Leukemia	5
REXO1	Acute Lymphoblastic Leukemia	5
RNH1	Acute Myeloid Leukemia	5
RXRA	Acute Lymphoblastic Leukemia	5
SEC24B	Acute Lymphoblastic Leukemia	5
SENP3-EIF4A1	Acute Myeloid Leukemia	5
SH3TC1	Acute Lymphoblastic Leukemia	5
SRSF4	Acute Lymphoblastic Leukemia	5
SSBP2	Acute Lymphoblastic Leukemia	5
STK32C	Acute Lymphoblastic Leukemia	5
TACC3	Acute Lymphoblastic Leukemia	5
TCF25	Acute Lymphoblastic Leukemia	5
TSC2	Acute Lymphoblastic Leukemia	5
UBC	Acute Myeloid Leukemia	5
UHRF2	Acute Myeloid Leukemia	5
ULK1	Acute Myeloid Leukemia	5
VAV2	Acute Lymphoblastic Leukemia	5
ZEB2	Acute Lymphoblastic Leukemia	5
AC244472.3	Acute Lymphoblastic Leukemia	4
ADAP1	Acute Lymphoblastic Leukemia	4
AKT1	Acute Lymphoblastic Leukemia	4
AKT1	Acute Myeloid Leukemia	4
ARHGEF2	Acute Myeloid Leukemia	4
ARID3A	Acute Myeloid Leukemia	4
ARID5A	Acute Lymphoblastic Leukemia	4
BAZ2B	Acute Lymphoblastic Leukemia	4
BCL9	Acute Lymphoblastic Leukemia	4
BPTF	Acute Lymphoblastic Leukemia	4
C19orf24	Acute Lymphoblastic Leukemia	4
C19orf25	Acute Lymphoblastic Leukemia	4
CHST11	Acute Lymphoblastic Leukemia	4
CIC	Acute Myeloid Leukemia	4
CLK3	Acute Myeloid Leukemia	4
COG8	Acute Lymphoblastic Leukemia	4
COL1A2	Osteosarcoma	4
ELF2	Acute Lymphoblastic Leukemia	4
ELL	Acute Myeloid Leukemia	4
ERG	Acute Myeloid Leukemia	4
FAM20C	Acute Lymphoblastic Leukemia	4
FAM69B	Acute Lymphoblastic Leukemia	4
FLT3	Acute Lymphoblastic Leukemia	4
FOSL1	Acute Myeloid Leukemia	4
FYN	Diffuse midline glioma	4
GLIS2	Acute Myeloid Leukemia	4
GNA11	Acute Lymphoblastic Leukemia	4
GRK2	Acute Myeloid Leukemia	4
JAK2	Acute Lymphoblastic Leukemia	4
KDM5B	Acute Myeloid Leukemia	4
KLF10	Acute Myeloid Leukemia	4
KMT2C	Acute Lymphoblastic Leukemia	4
LFNG	Acute Myeloid Leukemia	4
MAD1L1	Neuroblastoma	4
MAD1L1	Wilms tumor	4
MAML3	Acute Lymphoblastic Leukemia	4
NACC2	Acute Myeloid Leukemia	4
NFAT5	Acute Lymphoblastic Leukemia	4
NFIC	Acute Myeloid Leukemia	4
NFKBIA	Acute Myeloid Leukemia	4
NR4A1	Acute Myeloid Leukemia	4
OAZ1	Acute Myeloid Leukemia	4
PDF	Acute Lymphoblastic Leukemia	4
PIAS1	Acute Lymphoblastic Leukemia	4
PLEKHO1	Acute Lymphoblastic Leukemia	4
PNRC1	Acute Lymphoblastic Leukemia	4
PPP4R3B	Acute Myeloid Leukemia	4
PTDSS2	Acute Myeloid Leukemia	4
PTTG1IP	Acute Lymphoblastic Leukemia	4
REV3L	Diffuse midline glioma	4
RNF220	Acute Myeloid Leukemia	4
SAP25	Acute Myeloid Leukemia	4
SET	Acute Lymphoblastic Leukemia	4
