Gene	broad_histology	count
JADE1	Hematologic malignancy	4
JADE2	Hematologic malignancy	6
JAK2	Hematologic malignancy	5
JMJD1C	Hematologic malignancy	5
KCNH1	Low-grade astrocytic tumor	4
KDM2B	Hematologic malignancy	4
KDM4B	Hematologic malignancy	14
KDM5A	Hematologic malignancy	9
KDM6A	Hematologic malignancy	5
KIAA1549	Low-grade astrocytic tumor	185
KIAA1586	Embryonal tumor	5
KIF26B	Renal tumor	4
KLF10	Hematologic malignancy	13
KLF11	Hematologic malignancy	5
KLF13	Hematologic malignancy	13
KLF16	Hematologic malignancy	16
KLF2	Hematologic malignancy	31
KMT2A	Hematologic malignancy	56
KMT2C	Hematologic malignancy	8
LAPTM5	Hematologic malignancy	4
LCORL	Hematologic malignancy	4
LDLRAD4	Hematologic malignancy	15
LEF1	Hematologic malignancy	18
LFNG	Hematologic malignancy	25
LGALS3BP	Hematologic malignancy	4
LMNB2	Hematologic malignancy	7
LRRC41	Hematologic malignancy	4
LRRFIP1	Hematologic malignancy	9
LRRTM4	Low-grade astrocytic tumor	4
LSP1	Hematologic malignancy	4
MACF1	Hematologic malignancy	9
MAD1L1	Hematologic malignancy	106
MAD1L1	Renal tumor	4
MAEA	Hematologic malignancy	14
MAFK	Hematologic malignancy	15
MAML3	Hematologic malignancy	8
MAP1LC3B	Hematologic malignancy	6
MARCHF11	Embryonal tumor	6
MDK	Hematologic malignancy	9
MEF2D	Hematologic malignancy	6
MEP1A	Ependymal tumor	6
MET	Diffuse astrocytic and oligodendroglial tumor	19
METRNL	Hematologic malignancy	39
MGRN1	Hematologic malignancy	5
MKNK2	Hematologic malignancy	37
MLLT1	Hematologic malignancy	8
MLLT10	Hematologic malignancy	29
MLLT3	Hematologic malignancy	13
MLXIP	Hematologic malignancy	28
MNT	Hematologic malignancy	10
MRM2	Hematologic malignancy	10
MSI2	Hematologic malignancy	5
MTA1	Hematologic malignancy	9
MYB	Hematologic malignancy	5
MYB	Low-grade astrocytic tumor	4
MYH11	Hematologic malignancy	29
MYO18B	Hematologic malignancy	13
N4BP2L1	Hematologic malignancy	8
NACC2	Hematologic malignancy	5
NBAS	Embryonal tumor	19
NCOR2	Embryonal tumor	4
NCOR2	Hematologic malignancy	63
NF1	Diffuse astrocytic and oligodendroglial tumor	5
NFATC1	Hematologic malignancy	83
NFIC	Hematologic malignancy	4
NIBAN3	Hematologic malignancy	17
NOL4L	Hematologic malignancy	26
NOTCH1	Hematologic malignancy	33
NOTCH3	Hematologic malignancy	5
NOVA1	Diffuse astrocytic and oligodendroglial tumor	4
NPAS1	Hematologic malignancy	8
NPAS3	Low-grade astrocytic tumor	8
NPM1	Hematologic malignancy	9
NR4A1	Hematologic malignancy	17
NSD1	Hematologic malignancy	7
NSD3	Embryonal tumor	6
NTRK1	Hematologic malignancy	4
NTRK2	Low-grade astrocytic tumor	9
NTRK3	Diffuse astrocytic and oligodendroglial tumor	4
NUP214	Hematologic malignancy	10
NUP98	Hematologic malignancy	22
OAZ1	Hematologic malignancy	36
P2RX1	Hematologic malignancy	12
P2RX5	Hematologic malignancy	7
P2RX5-TAX1BP3	Hematologic malignancy	6
PAFAH1B1	Hematologic malignancy	4
PALM	Hematologic malignancy	4
PAPSS1	Embryonal tumor	4
PAX5	Hematologic malignancy	32
PBX1	Hematologic malignancy	22
PCM1	Hematologic malignancy	5
PCNT	Hematologic malignancy	9
PDE2A	Hematologic malignancy	7
PDE9A	Hematologic malignancy	4
PDF	Hematologic malignancy	4
PDGFA	Hematologic malignancy	14
PDGFRA	Diffuse astrocytic and oligodendroglial tumor	5
PDXK	Hematologic malignancy	5
PEAR1	Hematologic malignancy	4
PER1	Hematologic malignancy	14
PFKL	Hematologic malignancy	5
PFKP	Hematologic malignancy	4
PHACTR3	Hematologic malignancy	10
PICALM	Hematologic malignancy	13
PID1	Low-grade astrocytic tumor	7
PIEZO1	Hematologic malignancy	7
PIM3	Hematologic malignancy	70
PITPNA	Hematologic malignancy	5
PLEC	Hematologic malignancy	7
PLEKHO1	Hematologic malignancy	11
PLOD3	Hematologic malignancy	4
PLPP5	Embryonal tumor	5
PLXNB2	Hematologic malignancy	8
PMEPA1	Hematologic malignancy	15
PNRC1	Hematologic malignancy	9
POLE	Hematologic malignancy	5
POU2F1	Hematologic malignancy	8
PPM1D	Embryonal tumor	6
PPM1N	Hematologic malignancy	4
PPP1CA	Hematologic malignancy	16
PPP1R16B	Hematologic malignancy	7
PPP1R37	Hematologic malignancy	5
PPP2R5C	Hematologic malignancy	4
PPP6R1	Hematologic malignancy	5
PPRC1	Hematologic malignancy	6
PRDM16	Hematologic malignancy	5
PRKAR1B	Hematologic malignancy	11
PRKCE	Hematologic malignancy	4
PRKCZ	Hematologic malignancy	5
PRKN	Diffuse astrocytic and oligodendroglial tumor	6
PRR12	Hematologic malignancy	40
PTBP1	Hematologic malignancy	78
PTEN	Hematologic malignancy	4
PTMA	Hematologic malignancy	169
PTPN2	Hematologic malignancy	5
PTPRCAP	Hematologic malignancy	15
PTPRZ1	Diffuse astrocytic and oligodendroglial tumor	5
PTTG1IP	Hematologic malignancy	23
PUM1	Hematologic malignancy	5
PWWP2B	Hematologic malignancy	4
QKI	Diffuse astrocytic and oligodendroglial tumor	10
QKI	Low-grade astrocytic tumor	11
RAB35	Hematologic malignancy	8
