sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_1RXZ3BP7	0.5299536169905764	0.3484787250564323	0.5706924522185246	0.6093107734354306	0.48599581470003583	0.46013845190150415
BS_1SVVER1H	0.35014143240583745	0.25069980341544373	0.6051516532680383	0.44863785390506367	0.5151013647617885	0.4395791426833387
BS_1T19NFJ8	0.3519057960194994	0.5956159896872766	0.4794769886523872	0.31441373820331636	0.5134208309615342	0.3936510911660196
BS_1TPWFSK6	0.3133559735040773	0.2580584167132036	0.6267624795398142	0.46664961136823385	0.45891489463707286	0.4823102021692646
BS_1TQFKXNB	0.28432591018815795	0.3705356201680316	0.4592547768560056	0.23957582394943094	0.38216559891040597	0.6028581630534328
BS_1TWCV047	0.4325846006670251	0.6402906405498876	0.4371531789557188	0.5190538021265723	0.5461835637865966	0.5445408333505075
BS_1XJ73KBQ	0.4531865411357048	0.1700703273786589	0.4423311288108929	0.3492560295650919	0.24400206719974274	0.5133112588994159
BS_1ZVXF5FE	0.41785072654884975	0.3483634471938487	0.553672759976816	0.41683553934372264	0.4229136163498301	0.41812240154060326
BS_20ZRK51D	0.4559599999857985	0.5310871103807413	0.509417969388877	0.557590599178269	0.6397683755325584	0.5452706813414384
BS_21RE8W46	0.33871640683608756	0.3387459956904657	0.5163660010068895	0.5880170653545185	0.38587319081239907	0.6135696186910465
BS_23M72ABG	0.3208396831402999	0.5973533919362212	0.4474011269754399	0.42602940487515273	0.5686882303855011	0.5289246664380824
BS_23QW0BBA	0.880063121651233	0.2774943810447034	0.4892094970159008	0.8574075829727046	0.5673133695003991	0.48158050613979986
BS_23W9EPFE	0.3489923204425375	0.6869062481740172	0.38419263813510757	0.5965148741803928	0.5154541490192479	0.6025912814016242
BS_2480EHNY	0.6729335682332954	0.6224593628915358	0.5239003486851282	0.4715140638134443	0.3675731988330535	0.36204637347565816
BS_24AHZ9ZW	0.419986017234796	0.34349497356489084	0.5716353389878791	0.82870237666569	0.4645859614037896	0.5233707560294378
